encoding;item_group;item_subgroup;item_function;phenomenon;adverbial_class;adverbial_type;orientation;original ;ID;original_matrix verb;freq_matrix verb;P ;int arg;int arg_type;syntax_int arg;animacy_int arg;animacy_SUBJ;animacy_OBJ;condition 1;condition 2;condition 3;condition 4;key_condition 1_ORDER;key_condition 1_OBJ;key_condition 2_ORDER;key_condition 2_OBJ;key_condition 3_ORDER;key_condition 3_OBJ;key_condition 4_ORDER;key_condition 4_OBJ;mp_item1;mp_item2;condition_mp_item1;condition_mp_item2
t20;test;;test;advPP;internal;COM(O);OBJ;Ich hab ein paar Bilder von meiner Katze mit einem Überweisungsträger verschickt, außerdem verkaufe ich die Katzenstreu in kleinen Tütchen am Bahnhof.;https://books.google.de/books?id=L8vDDgAAQBAJ&pg=PT120&lpg=PT120&dq=%22mit+einem+Überweisungsträger+verschickt%22&source=bl&ots=53ZScz2DUm&sig=ANw_AQeNPDPpX2xv9ZCvnbOK4iU&hl=de&sa=X&ved=0ahUKEwjX_oao8OfbAhVM7WEKHc_GCrEQ6AEILjAA#v=onepage&q=%22mit%20einem%20Überweisungsträger%20verschickt%22&f=false;versenden;;(MOD) MIT;Überweisungsträger;entity;MOD P DETindef N;inanimate;animate;inanimate;Pia hat erzählt, dass ein Tierschützer zusammen mit einem Überweisungsträger was versandt hat. Was es war, weiß ich aber nicht.;Pia hat erzählt, dass ein Tierschützer was zusammen mit einem Überweisungsträger versandt hat. Was es war, weiß ich aber nicht.;Pia hat erzählt, dass ein Tierschützer zusammen mit einem Überweisungsträger ein Broschüre versandt hat. Was für eine, weiß ich aber nicht.;Pia hat erzählt, dass ein Tierschützer eine Broschüre zusammen mit einem Überweisungsträger versandt hat. Was für eine, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t21;test;;test;advPP;internal;COM(O);OBJ;"Die Plakette zeigt auf der Vorderseite Carl Friedrich Zelter (1758-1832, Begründer der modernen Chormusik), auf der Rückseite den Bundesadler mit der Umschrift „Für Verdienste um Chorgesang und Volkslied"". Sie wird zusammen mit einer Urkunde überreicht.";https://www.lokalkompass.de/bottrop/c-kultur/der-staedtische-musikverein-bottrop-erhaelt-die-zelter-plakette_a906795;überreichen;;(MOD) MIT;Urkunde;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Minister zusammen mit einer Urkunde was überreicht hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Minister was zusammen mit einer Urkunde überreicht hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Minister zusammen mit einer Urkunde einen Orden überreicht hat. Was für einen, weiß ich aber nicht. ;Ich habe gehört, dass ein Minister einen Orden zusammen mit einer Urkunde überreicht hat. Was für einen, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t22;test;;test;advPP;internal;COM(O);OBJ;Fallbeispiel 14”: K verkauft dem H einen antiken Schrank, den dieser zusammen mit einem Gemälde weiter an D verkauft ...;https://books.google.de/books?id=y7IHOFBwhrEC&pg=PA128&lpg=PA128&dq=%22zusammen+mit+einem+Gemälde%22&source=bl&ots=qizbevJJz1&sig=ACfU3U2lYzQBpZqoMwj9shYuXt2c5XFdHg&hl=de&sa=X&ved=2ahUKEwi7x8_Uh5XnAhVNZVAKHXsGAMcQ6AEwAnoECAcQAQ#v=onepage&q=%22zusammen%20mit%20einem%20Gemälde%22&f=false;verkaufen;;(MOD) MIT;Gemälde;entity;MOD P DETindef N;inanimate;animate;inanimate;Kai hat erzählt, dass ein Antiquitätenhändler zusammen mit einem Gemälde was verkauft hat. Was es war, weiß ich aber nicht.;Kai hat erzählt, dass ein Antiquitätenhändler was zusammen mit einem Gemälde verkauft hat. Was es war, weiß ich aber nicht.;Kai hat erzählt, dass ein Antiquitätenhändler zusammen mit einem Gemälde eine Statue verkauft hat. Was für eine, weiß ich aber nicht.;Kai hat erzählt, dass ein Antiquitätenhändler eine Statue zusammen mit einem Gemälde verkauft hat. Was für eine, weiß ich aber nicht.;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t23;test;;test;advPP;internal;COM(O);OBJ;Wir wollen keine klassische Hochzeitstorte sondern einfach ein großes Erdbeerbodenherz. Und dieses soll es auch nach dem Essen (Buffet) gemeinsam mit dem Dessert geben. ;https://www.chefkoch.de/forum/2,25,728540/Hochzeits-torte-zusammen-mit-dem-Dessert.html;servieren;;(MOD) MIT;Süßspeise;entity;MOD P DETindef N;inanimate;animate;inanimate;Eva hat erzählt, dass ein Kellner zusammen mit einer Süßspeise was serviert hat. Was es war, weiß ich aber nicht. ;Eva hat erzählt, dass ein Kellner was zusammen mit einer Süßspeise serviert hat. Was es war, weiß ich aber nicht. ;Eva hat erzählt, dass ein Kellner zusammen mit einer Süßspeise ein Heißgetränk serviert hat. Was für eins, weiß ich aber nicht. ;Eva hat erzählt, dass ein Kellner ein Heißgetränk zusammen mit einer Süßspeise serviert hat. Was für eins, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
t24;test;;test;advPP;internal;COM(O);OBJ;Für das Kürbiskernpesto nimmt man die abgezupften Blätter von einem Bund Petersilie und püriert sie zusammen mit einer Knoblauchzehe, 100 Milliliter Olivenöl, einem Esslöffel Kürbiskernmus, einem halben Teelöffel Salz, zwei Esslöffeln Zitronensaft sowie drei Esslöffeln Parmesan zu einer würzigen Masse. Darauf weist die Bundesvereinigung der Erzeugerorganisationen Obst und Gemüse hin.;https://www.fr.de/ratgeber/gesundheit/wuerziges-pesto-bacon-kuerbissuppe-10962746.html;pürieren;;(MOD) MIT;Knoblauchzehe;entity;MOD P DETindef N;inanimate;animate;inanimate;Ich habe gehört, dass ein Hobbykoch zusammen mit einer Knoblauchzehe was püriert hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Hobbykoch was zusammen mit einer Knoblauchzehe püriert hat. Was es war, weiß ich aber nicht. ;Ich habe gehört, dass ein Hobbykoch zusammen mit einer Knoblauchzehe eine Chilischote püriert hat. Wofür genau, weiß ich aber nicht. ;Ich habe gehört, dass ein Hobbykoch eine Chilischote zusammen mit einer Knoblauchzehe püriert hat. Wofür genau, weiß ich aber nicht. ;PP>OBJ;W_Indef;OBJ>PP ;W_Indef;PP>OBJ;NP;OBJ>PP ;NP;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
